  -0.95  -0.95         0.0965781451527413        0.0965781451527413  0.0E+00
  -0.95  -0.57         0.1336845746751685        0.1336845746751630  4.1E-14
  -0.95  -0.19         0.2025864224726494        0.2025864224726571  3.8E-14
  -0.95   0.19         0.3607474326056308        0.3607474326056157  4.2E-14
  -0.95   0.57         0.9326701853591135        0.9326701853591102  3.6E-15
  -0.95   0.95        23.5220826035523300       23.5220826035481400  1.8E-13
  -0.53  -0.95         0.1568791477394603        0.1568791477394587  1.0E-14
  -0.53  -0.57         0.2171539131113272        0.2171539131113278  2.7E-15
  -0.53  -0.19         0.3290763686839604        0.3290763686839584  6.1E-15
  -0.53   0.19         0.5859891975235368        0.5859891975235394  4.4E-15
  -0.53   0.57         1.5150063564560790        1.5150063564560710  5.7E-15
  -0.53   0.95        38.2086885813136000       38.2086885813113600  5.9E-14
  -0.11  -0.95         0.2980589213077713        0.2980589213077664  1.6E-14
  -0.11  -0.57         0.4125765726826641        0.4125765726826616  6.1E-15
  -0.11  -0.19         0.6252210627808376        0.6252210627808445  1.1E-14
  -0.11   0.19         1.1133366711166710        1.1133366711166740  2.2E-15
  -0.11   0.57         2.8784014120834570        2.8784014120834480  3.1E-15
  -0.11   0.95        72.5937173118993000       72.5937173118998400  7.4E-15
   0.31  -0.95         0.7713471895469390        0.7713471895469418  3.6E-15
   0.31  -0.57         1.0677076143715760        1.0677076143715760  4.2E-16
   0.31  -0.19         1.6180106520736920        1.6180106520736790  8.1E-15
   0.31   0.19         2.8812058653284010        2.8812058653284050  1.4E-15
   0.31   0.57         7.4490199114219110        7.4490199114220050  1.3E-14
   0.31   0.95       187.8654045368277000      187.8654045368447000  9.1E-14
   0.73  -0.95         5.0375637440781940        5.0375637440781740  4.1E-15
   0.73  -0.57         6.9730534321307020        6.9730534321304130  4.2E-14
   0.73  -0.19        10.5670078388514700       10.5670078388515500  7.7E-15
   0.73   0.19        18.8167642315891000       18.8167642315892100  5.7E-15
   0.73   0.57        48.6485374462014100       48.6485374462004900  1.9E-14
   0.73   0.95      1226.9234444443050000     1226.9234444443310000  2.1E-14
   1.15  -0.95       377.6955940719683000      377.6955940719767000  2.2E-14
   1.15  -0.57       522.8105672389969000      522.8105672390003000  6.5E-15
   1.15  -0.19       792.2703326483960000      792.2703326483878000  1.0E-14
   1.15   0.19      1410.8027820624610000     1410.8027820624480000  9.7E-15
   1.15   0.57      3647.4651607286900000     3647.4651607287660000  2.1E-14
   1.15   0.95     91989.6209303533400000    91989.6209303523400000  1.1E-14
