0.5 0.5  6.187361e+00 7.956126e+00 8.106391e+00 7.893847e+00
0.5 1.0  6.187361e+00 7.766542e+00 8.046989e+00 7.944202e+00
0.5 2.0  6.187361e+00 7.614409e+00 7.974627e+00 7.958674e+00
1.0 0.5  7.110012e+00 8.321943e+00 8.136375e+00 7.877205e+00
1.0 1.0  7.110012e+00 8.192043e+00 8.154210e+00 7.956180e+00
1.0 2.0  7.110012e+00 8.087803e+00 8.146807e+00 8.007180e+00
2.0 0.5  7.966379e+00 8.515837e+00 8.117082e+00 7.862292e+00
2.0 1.0  7.966379e+00 8.456943e+00 8.188999e+00 7.950480e+00
2.0 2.0  7.966379e+00 8.409684e+00 8.231636e+00 8.020915e+00

